,state,date,Nij_norm,pc
0,Australian Capital Territory,2020-02-18,127.70806897846946,19.77192298414085
1,Australian Capital Territory,2020-02-25,96.30757833725224,-9.677251033032338
2,Australian Capital Territory,2020-03-03,95.86249890569135,-10.09467195110857
3,Australian Capital Territory,2020-03-10,99.45015802426813,-6.729960268591681
4,Australian Capital Territory,2020-03-17,72.7695746468368,-31.752535607918155
5,Australian Capital Territory,2020-03-24,36.81370580419902,-65.47400354879137
6,Australian Capital Territory,2020-03-31,13.397276959061768,-87.43526828826708
7,Australian Capital Territory,2020-04-07,9.385582313086967,-91.19766471330887
8,Australian Capital Territory,2020-04-14,9.382987044666885,-91.20009870429956
9,Australian Capital Territory,2020-04-21,7.3199648411021885,-93.13491878619729
10,Australian Capital Territory,2020-04-28,10.622583041643967,-90.03753476085431
11,New South Wales,2020-02-18,590.8905655561026,5.181342798800888
12,New South Wales,2020-02-25,551.6229562916914,-1.8084791947900074
13,New South Wales,2020-03-03,542.8345156451414,-3.3728636040109015
14,New South Wales,2020-03-10,506.18118076681304,-9.897332270943211
15,New South Wales,2020-03-17,440.35116732399115,-21.61538907197316
16,New South Wales,2020-03-24,238.48678200775808,-57.54821377502728
17,New South Wales,2020-03-31,125.05548699924992,-77.73952604140838
18,New South Wales,2020-04-07,108.21245013305153,-80.73766704697543
19,New South Wales,2020-04-14,84.42530952127927,-84.97189168472275
20,New South Wales,2020-04-21,105.60192592180177,-81.20235282460267
21,New South Wales,2020-04-28,109.8571273097995,-80.44490665443458
22,Northern Territory,2020-02-18,103.67649851310502,-1.712459376787988
23,Northern Territory,2020-02-25,109.74403271309683,4.039692969377921
24,Northern Territory,2020-03-03,103.02801715253437,-2.3272335925899057
25,Northern Territory,2020-03-10,95.20735906991968,-9.741384919258032
26,Northern Territory,2020-03-17,93.87608383793211,-11.003462345880555
27,Northern Territory,2020-03-24,80.03277619248801,-24.127214421566457
28,Northern Territory,2020-03-31,53.47099178202239,-49.30835481220803
29,Northern Territory,2020-04-07,53.31394708842825,-49.4572365445453
30,Northern Territory,2020-04-14,43.53375953449776,-58.72906376957518
31,Northern Territory,2020-04-21,57.19155941420957,-45.78117702809544
32,Northern Territory,2020-04-28,58.279577412523984,-44.74971266788081
33,Queensland,2020-02-18,250.61753427483666,1.007348946023169
34,Queensland,2020-02-25,247.03767284569543,-0.43545637722744523
35,Queensland,2020-03-03,246.6991499335164,-0.5718925687957239
36,Queensland,2020-03-10,229.05486661245445,-7.683135951944528
37,Queensland,2020-03-17,210.9988914947182,-14.960305063655058
38,Queensland,2020-03-24,133.1743250954943,-46.326239444921654
39,Queensland,2020-03-31,70.88503890109618,-71.4309300821561
40,Queensland,2020-04-07,58.43961198599441,-76.44685836839226
41,Queensland,2020-04-14,43.179595788695785,-82.59716140055033
42,Queensland,2020-04-21,55.936780834354565,-77.45558403564516
43,Queensland,2020-04-28,60.77474701749008,-75.50571991355571
44,South Australia,2020-02-18,441.54022454357255,-4.529501563543118
45,South Australia,2020-02-25,469.6706749204745,1.5529071716995706
46,South Australia,2020-03-03,476.25506680233514,2.9765943918435718
47,South Australia,2020-03-10,392.037259044424,-15.23310800205472
48,South Australia,2020-03-17,408.80310601772726,-11.607971087506929
49,South Australia,2020-03-24,240.74244825317544,-47.946301940435156
50,South Australia,2020-03-31,130.8176172306457,-71.71441597605363
51,South Australia,2020-04-07,112.31947146688411,-75.71411316795074
52,South Australia,2020-04-14,92.22903338052392,-80.05809822592434
53,South Australia,2020-04-21,112.61934138836482,-75.64927483776358
54,South Australia,2020-04-28,121.60061050652233,-73.70733117863534
55,Tasmania,2020-02-18,100.58994169204917,0.3152271507834426
56,Tasmania,2020-02-25,105.1008646305704,4.813830605816608
57,Tasmania,2020-03-03,95.13074754034322,-5.129057756600065
58,Tasmania,2020-03-10,84.37682933105536,-15.853606650646467
59,Tasmania,2020-03-17,86.20425598928401,-14.031170756580394
60,Tasmania,2020-03-24,62.037010793223644,-38.1324143866192
61,Tasmania,2020-03-31,36.61097784033542,-63.48900798144275
62,Tasmania,2020-04-07,26.04040178708571,-74.03071543309535
63,Tasmania,2020-04-14,19.526384953744788,-80.52694226560651
64,Tasmania,2020-04-21,24.399848135928888,-75.66678867660785
65,Tasmania,2020-04-28,27.184055317353092,-72.89018525939474
66,Victoria,2020-02-18,832.4613384591078,-0.7142686165344129
67,Victoria,2020-02-25,830.2526546936274,-0.9776932020610087
68,Victoria,2020-03-03,852.6363805397549,1.6919618185954486
69,Victoria,2020-03-10,743.3308595633189,-11.344653929211182
70,Victoria,2020-03-17,696.6035421104556,-16.917712610209378
71,Victoria,2020-03-24,366.8840833332477,-56.24258705621177
72,Victoria,2020-03-31,179.86504493008184,-78.54791362532411
73,Victoria,2020-04-07,152.48006642640266,-81.81405644066619
74,Victoria,2020-04-14,116.51662070208388,-86.10333312757862
75,Victoria,2020-04-21,148.95986312051696,-82.23390291724888
76,Victoria,2020-04-28,153.2845583898677,-81.71810655171089
77,Western Australia,2020-02-18,391.14854278072187,6.727890392538291
78,Western Australia,2020-02-25,386.5855183158989,5.482834047759557
79,Western Australia,2020-03-03,321.74014759082564,-12.210724440297865
80,Western Australia,2020-03-10,357.2261477047446,-2.5280961893954066
81,Western Australia,2020-03-17,323.05865143371994,-11.850960518831712
82,Western Australia,2020-03-24,211.26696166351365,-42.35418348310569
83,Western Australia,2020-03-31,119.02325844150843,-67.52358786562209
84,Western Australia,2020-04-07,99.50955752254613,-72.84805134956078
85,Western Australia,2020-04-14,83.07061781139193,-77.33354257289172
86,Western Australia,2020-04-21,101.08289306696477,-72.41875463700845
87,Western Australia,2020-04-28,102.63332152506284,-71.99570829926427
